Address;Text;Stars;Date
Караванная, 1 лит А;На прилавках чаще бардак, чем порядок, ценники не все, очень неприятные кассиры.;2;23 июля 2022
Караванная, 1 лит А;Обожаю пятерочку, особенно горячую молодую кассиршу;5;19 июля 2022
Караванная, 1 лит А;Опять несостыковки в чеке, ценники нарочно не меняют чтобы люди покупали товары якобы по скидке;1;17 июля 2022
Караванная, 1 лит А;обычная Пятёрочка. Есть кассы самообслуживания - это плюс;4;9 июля 2022
Караванная, 1 лит А;Вообще ни разу не выручает, скорее наоборот - постоянно подводят своими мутными схема с ценниками;1;22 июня 2022
Караванная, 1 лит А;"Очень грустно наблюдать,как у взрослой женщины выросло чрезвычайное самомнение,но не успел вырасти интеллект и элементарные нормы общения.Хожу в этот магазин 2 года,знаю практически всех продавцов,всегда общаются приветливо и без пренебрежения.Зашла взять стики,показала продавцу на кассе самообслуживания какие мне нужны (достала из кармана свою пачку).Приносит мне другие со словами ""В смысле?Вы же сказали эти"" хотя ПОКАЗАЛА я ей вообще другую пачку.На данных кассах нужно подтверждение продавца,что покупатель совершеннолетний,я зову вновь эту мадам с просьбой провести,на что слышу ""А чем вы мне докажите?"" в настолько хамской и наглой интонации,что очень хотелось ей доказать лишь то,что вся эта пачка запросто может оказаться в ее ""зоне самообслуживания""Такую дичь я встретила тут впервые,желания посещать магазин более нет,благо альтернативный вариант в виде Спара с нормальными продавцами в шаговой доступности";1;25 апреля 2022, отредактирован
Караванная, 1 лит А;Понравилось все ,кроме того,что тесно в помешении;4;31 марта 2022
Караванная, 1 лит А;Не сталкивался с проблемами в этом магазине, обычно всё хорошо. Есть нужные продукты, есть всегда скидки, продавцы попадаются обычные, ничего плохого не скажешь;4;21 февраля 2022
Караванная, 1 лит А;Хороший магазин. Большой выбор продукции на любой вкус. Очередей почти не бывает . Есть без контактные терминал для оплаты безналом. Всегда скидки на продукцию повышенного спроса. За наличием просрочки регулярно следят. Большой стеллаж алкогольной продукции.;3;5 ноября 2021
Караванная, 1 лит А;Ужасный магазин. Нету интернета, не пробилась карта 5.;1;26 июня 2021
Караванная, 1 лит А;Нет ценников на большое количество товаров. Неудобное расположение холодильников и стеллажей с напитками, разбросаны по всему магазину.;1;21 июня 2021
Караванная, 1 лит А;Магазин в целом приемлимые, но из-за отсутствия моих любимых презерватитов VIZIT приходится бегать в аптеку, а удобней было бы купить прям там, со всеми продуктами;4;19 мая 2021
Караванная, 1 лит А;Постоянно обсчитывают, приходится доказывать на кассе, что ценник в зале другой, а смотрят так как-будто я у них в долг взяла!!! Пора им сворачиваться, Спар и то лучше был!!;1;6 мая 2021, отредактирован
Караванная, 1 лит А;Добавьте bcaa и смолу шу пуэра пожалуйста. Нет ключей от шкафчиков. Не поняла как и где взвесить овощи ? На кассе ? Бренди вкусное. Нет сушеного мяса и ботищалов. Алсо нет кофе нормального, например Бушидо. Нет тампонов. Нет бумаги для уборной с сиренью. Нет минеральной воды Сан ПелегриноUPD выбор вина отличный, очень вкусное. Минералка появилась и кофе тоже, мини-тампоны нет, обычные да.;5;30 апреля 2021, отредактирован
Караванная, 1 лит А;"20 декабря посетил этот ритейл. Все началось с того , что на мой вопрос сотруднику (форменная одежда, бейдж) ""где у Вас находится отдел с водой"" мне ответили : "" я не работаю"" и продолжил диалог с другим сотрудником магазина. В итоге искал воду минут 10 нашел :)Затем уже на кассе , во время того как меня обслуживали , кассир встал со своего рабочего места по личным вопросам и вернулся спустя какое то время. А я стоял и ждал в надежде, когда меня ,,дообслуживают,,В обще и целом такой сервис не первый раз. Примите меры.";1;20 декабря 2020
Караванная, 1 лит А;ужасная сеть,вечный бардак как с продуктами на полках,так и с ценниками;3;15 октября 2020
Караванная, 1 лит А;В этом магазине работают очень приятные и вежливые сотрудники, это прям редкость, особенно для Пятерочки));5;3 июля 2020
Караванная, 1 лит А;Хороший магазин, удобно расположен, все что нужно есть, но к сожалениею работает не круглосуточно.;4;9 марта 2020
Караванная, 1 лит А;В информации написано, что магазин работает до 23.30, пришла в 23.03, магазин уже закрыт :(((;1;11 октября 2019
Караванная, 1 лит А;Пятерочка эта уже не работает круглосуточно!;2;19 октября 2018
Караванная, 1 лит А;Отличный магазин по ценам и расположению в отличие от своих конкурентов, находящихся в центре города. Кроме того, радует большой товарный зал с хорошим оформлением и свежим ремонтом.;5;25 апреля 2018
